Model,Retriever,Exact_PRECISION,Exact_RECALL,Exact_F1,Year_PRECISION,Year_RECALL,Year_F1,Decade_PRECISION,Decade_RECALL,Decade_F1,Century_PRECISION,Century_RECALL,Century_F1
Phi-3,BM25,0.0,0.0,0.0,0.0606060606060606,0.1176470588235294,0.08,0.1212121212121212,0.2352941176470588,0.16,0.2121212121212121,0.4117647058823529,0.2799999999999999
Phi-3,BGE,0.0303030303030303,0.0588235294117647,0.04,0.0303030303030303,0.0588235294117647,0.04,0.0606060606060606,0.1176470588235294,0.08,0.1515151515151515,0.2941176470588235,0.1999999999999999
Phi-3,Contr,0.0277777777777777,0.0588235294117647,0.0377358490566037,0.0277777777777777,0.0588235294117647,0.0377358490566037,0.0277777777777777,0.0588235294117647,0.0377358490566037,0.2222222222222222,0.4705882352941176,0.3018867924528302
Phi-3,-,0.0833333333333333,0.0588235294117647,0.0689655172413793,0.0833333333333333,0.0588235294117647,0.0689655172413793,0.0833333333333333,0.0588235294117647,0.0689655172413793,0.4166666666666667,0.2941176470588235,0.3448275862068966
Phi-3,Inst,0.0,0.0,0.0,0.074074074074074,0.1176470588235294,0.0909090909090909,0.074074074074074,0.1176470588235294,0.0909090909090909,0.1481481481481481,0.2352941176470588,0.1818181818181818
Phi-3,GTR-X,0.0303030303030303,0.0588235294117647,0.04,0.0303030303030303,0.0588235294117647,0.04,0.0303030303030303,0.0588235294117647,0.04,0.1212121212121212,0.2352941176470588,0.16
Phi-3,GTR-L,0.0285714285714285,0.0588235294117647,0.0384615384615384,0.0571428571428571,0.1176470588235294,0.0769230769230769,0.0857142857142857,0.1764705882352941,0.1153846153846153,0.1428571428571428,0.2941176470588235,0.1923076923076923
Qwen,Boyer-M,0.04,0.0588235294117647,0.0476190476190476,0.04,0.0588235294117647,0.0476190476190476,0.12,0.1764705882352941,0.1428571428571428,0.12,0.1764705882352941,0.1428571428571428
Qwen,BM25,0.0151515151515151,0.0588235294117647,0.0240963855421686,0.0303030303030303,0.1176470588235294,0.0481927710843373,0.0909090909090909,0.3529411764705882,0.144578313253012,0.1515151515151515,0.5882352941176471,0.2409638554216867
Qwen,GTR-L,0.0285714285714285,0.1176470588235294,0.0459770114942528,0.0428571428571428,0.1764705882352941,0.0689655172413793,0.0857142857142857,0.3529411764705882,0.1379310344827586,0.1571428571428571,0.6470588235294118,0.2528735632183908
Qwen,Contr,0.0263157894736842,0.1176470588235294,0.043010752688172,0.0394736842105263,0.1764705882352941,0.064516129032258,0.1052631578947368,0.4705882352941176,0.1720430107526881,0.131578947368421,0.5882352941176471,0.2150537634408602
Qwen,BGE,0.03125,0.1176470588235294,0.0493827160493827,0.03125,0.1176470588235294,0.0493827160493827,0.109375,0.4117647058823529,0.1728395061728395,0.171875,0.6470588235294118,0.2716049382716049
Qwen,-,0.0327868852459016,0.1176470588235294,0.0512820512820512,0.0327868852459016,0.1176470588235294,0.0512820512820512,0.0491803278688524,0.1764705882352941,0.0769230769230769,0.1147540983606557,0.4117647058823529,0.1794871794871795
Qwen,Inst,0.0144927536231884,0.0588235294117647,0.0232558139534883,0.0434782608695652,0.1764705882352941,0.0697674418604651,0.1014492753623188,0.4117647058823529,0.1627906976744186,0.1304347826086956,0.5294117647058824,0.2093023255813953
Qwen,GTR-X,0.0256410256410256,0.1176470588235294,0.0421052631578947,0.0641025641025641,0.2941176470588235,0.1052631578947368,0.0769230769230769,0.3529411764705882,0.1263157894736842,0.1025641025641025,0.4705882352941176,0.1684210526315789
